Description,Incident#,Location,Agency,Date
THEFT - OF MOTOR VEHICLE PARTS,1908310065878,100 BLOCK NE 79TH ST,Miami Police,8-31-2019 5:41 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1908310065883,2000 BLOCK NW 10 AVE,Miami Police,8-31-2019 5:39 PM
SEXUAL BATTERY ON PERSON UNDER 12 YOA BY PERSON 18 YOA OR OLDER,1908310065894,6300 BLOCK NW 14TH CT,Miami Police,8-31-2019 5:23 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065870,1200 BLOCK NW 34TH ST,Miami Police,8-31-2019 5:20 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065887,5700 BLOCK NW 7TH ST,Miami Police,8-31-2019 5:09 PM
PETIT THEFT,1908310065876,700 BLOCK NW 13TH AV,Miami Police,8-31-2019 5:07 PM
PETIT THEFT,1908310065865,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 4:14 PM
ASSAULT,PD190831312802,6100 BLOCK NW 20TH AVE,Miami-Dade Police,8-31-2019 4:02 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065866,3600 BLOCK SW 22ND ST,Miami Police,8-31-2019 3:55 PM
THEFT - ALL OTHER,1908310065858,BISCAYNE BLVD / NE 54TH ST,Miami Police,8-31-2019 3:54 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065855,7800 BLOCK NW 1ST AV,Miami Police,8-31-2019 3:38 PM
SIMPLE ASSAULT,1908310065868,4900 BLOCK NW 11TH AV,Miami Police,8-31-2019 3:35 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065863,4300 BLOCK NE 2ND AV,Miami Police,8-31-2019 3:35 PM
THEFT/LARCENY,PD190831312856,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 3:20 PM
ASSAULT,PD190831312789,NW 80TH TER & N MIAMI AVE,Miami-Dade Police,8-31-2019 3:00 PM
CRIMINAL MISCHIEF / VANDALISM,1908310065842,6900 BLOCK NW 6TH CT,Miami Police,8-31-2019 2:48 PM
THEFT OF BICYCLE,1908310065854,100 BLOCK W FLAGLER ST,Miami Police,8-31-2019 2:44 PM
SIMPLE ASSAULT,1908310065843,SW 16TH ST / SW 27TH AV,Miami Police,8-31-2019 2:31 PM
THEFT/LARCENY,PD190901313626,JMH MAIN,Miami-Dade Police,8-31-2019 2:30 PM
BATTERY / DOMESTIC,1908310065839,800 BLOCK NW 5TH AV,Miami Police,8-31-2019 2:15 PM
GRAND THEFT,1908310065846,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 2:03 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065830,3600 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 1:48 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065835,300 BLOCK NW 34TH ST,Miami Police,8-31-2019 1:44 PM
THEFT/LARCENY,PD190831312666,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 1:20 PM
THEFT - ALL OTHER,1908310065822,400 BLOCK NW 4TH ST,Miami Police,8-31-2019 1:11 PM
THEFT OF BICYCLE,1909030066364,NW 2ND AV / NW 26TH ST,Miami Police,8-31-2019 1:07 PM
POSSESS / SELL CONTROLLED SUBSTANCE NAMED IN FS 893.03 (1A:1B:1D:2A:2B),1908310065817,SW 1ST CT / SW 1ST ST,Miami Police,8-31-2019 12:55 PM
BATTERY / SIMPLE,1908310065824,400 BLOCK NE 82ND ST,Miami Police,8-31-2019 12:31 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065812,300 BLOCK SW 27TH AV,Miami Police,8-31-2019 12:05 PM
AUTO THEFT,1908310065815,300 BLOCK NE 59TH TER,Miami Police,8-31-2019 11:59 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065803,2300 BLOCK NW 24TH AV,Miami Police,8-31-2019 11:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065808,2100 BLOCK SW 3RD AV,Miami Police,8-31-2019 11:51 AM
SIMPLE BATTERY,1908310065809,900 BLOCK NW 1ST ST,Miami Police,8-31-2019 11:50 AM
THREATENS A LAW ENFORCEMENT ORFFICER,1908310065807,200 BLOCK NE 1ST AVE,Miami Police,8-31-2019 11:32 AM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908310065791,600 BLOCK NE 73RD ST,Miami Police,8-31-2019 10:58 AM
THEFT - OF MOTOR VEHICLE PARTS,1908310065796,800 BLOCK NW 28TH AV,Miami Police,8-31-2019 10:58 AM
BATTERY / SIMPLE,1908310065798,2100 BLOCK NW 34TH ST,Miami Police,8-31-2019 10:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065786,2500 BLOCK SW 16TH ST,Miami Police,8-31-2019 10:23 AM
SIMPLE BATTERY,1908310065788,6800 BLOCK NW 4TH CT,Miami Police,8-31-2019 10:18 AM
BATTERY / DOMESTIC,1908310065799,200 BLOCK NE 1ST AVE,Miami Police,8-31-2019 10:09 AM
THEFT - ALL OTHER,1908310065776,1000 BLOCK NW NORTH RIVER DR,Miami Police,8-31-2019 10:07 AM
THEFT - OF MOTOR VEHICLE PARTS,1908310065782,4800 BLOCK NW 7TH AV,Miami Police,8-31-2019 10:05 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065783,0 BLOCK NE 55TH ST,Miami Police,8-31-2019 10:01 AM
BURGLARY / CURTILAGE OF ANY OTHER STRUCTURE - THEFT OF LESS THAN $300,1908310065780,2600 BLOCK SW 16TH TER,Miami Police,8-31-2019 9:35 AM
BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908310065772,2800 BLOCK NW 11TH AV,Miami Police,8-31-2019 9:34 AM
BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908310065772,2800 BLOCK NW 11TH AV,Miami Police,8-31-2019 9:34 AM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908310065767,1600 BLOCK NW 20TH ST,Miami Police,8-31-2019 8:56 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065761,700 BLOCK NW 18TH PL,Miami Police,8-31-2019 8:45 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065760,900 BLOCK NW 55TH ST,Miami Police,8-31-2019 8:35 AM
MOTOR VEHICLE THEFT,PD190831312869,3300 BLOCK NW 37TH ST,Miami-Dade Police,8-31-2019 8:00 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065755,400 BLOCK NE 39TH ST,Miami Police,8-31-2019 7:50 AM
BATTERY / AGG: USES DEADLY WEAPON,1908310065756,600 BLOCK SW 44TH CT,Miami Police,8-31-2019 7:49 AM
THEFT/LARCENY,PD190901313506,3100 BLOCK NW 54TH ST,Miami-Dade Police,8-31-2019 7:00 AM
ASSAULT,PD190831312262,2000 BLOCK NW 73RD ST,Miami-Dade Police,8-31-2019 6:35 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065747,3300 BLOCK NW 6TH AV,Miami Police,8-31-2019 6:13 AM
DRUGS/ALCOHOL VIOLATIONS,PD190831312200,NW 12TH AVE & NW 81ST ST,Miami-Dade Police,8-31-2019 3:57 AM
ASSAULT,PD190831313055,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-31-2019 3:50 AM
AGGRAVATED ASSAULT,1908310065735,1000 BLOCK NW 63RD ST,Miami Police,8-31-2019 3:05 AM
SIMPLE BATTERY,1908310065732,1600 BLOCK SW 8TH ST,Miami Police,8-31-2019 3:04 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065733,N MIAMI AV / NE 23RD ST,Miami Police,8-31-2019 3:04 AM
MOTOR VEHICLE THEFT,PD190831312181,4100 BLOCK SW 14TH ST,Miami-Dade Police,8-31-2019 2:40 AM
THEFT/LARCENY,PD190831312180,4200 BLOCK SW 8TH ST,Miami-Dade Police,8-31-2019 2:40 AM
ASSAULT / AGG / DOMESTIC,1908310065725,N MIAMI AV / NW 77TH ST,Miami Police,8-31-2019 2:27 AM
AGGRAVATED BATTERY,1908310065719,6600 BLOCK NE 1ST PL,Miami Police,8-31-2019 1:56 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065715,N MIAMI AV / NE 20TH ST,Miami Police,8-31-2019 1:31 AM
CRIMINAL MISCHIEF / VANDALISM,1908310065716,1200 BLOCK NW 58TH TER,Miami Police,8-31-2019 1:28 AM
SIMPLE BATTERY,1908310065717,100 BLOCK NW 23RD ST,Miami Police,8-31-2019 1:28 AM
THEFT/LARCENY,PD190831312340,7000 BLOCK NW 27TH AVE,Miami-Dade Police,8-31-2019 1:00 AM
SIMPLE BATTERY,1908310065711,1800 BLOCK NW 16TH ST,Miami Police,8-31-2019 12:55 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065707,NW 2ND AV / NW 27TH TER,Miami Police,8-31-2019 12:37 AM
CRIMINAL MISCHIEF / VANDALISM,1908310065718,300 BLOCK NW 7TH AV,Miami Police,8-31-2019 12:24 AM
ROBBERY,PD190831313260,NW 14TH AVE & NW 77TH TER,Miami-Dade Police,8-31-2019 11:47 PM
ASSAULT,PD190901313423,2700 BLOCK NW 49TH ST,Miami-Dade Police,8-31-2019 11:30 PM
AGGRAVATED ASSAULT,1909010065936,1700 BLOCK NW 62ND TER,Miami Police,8-31-2019 11:18 PM
BURGLARY - RESIDENCE,1908310065922,1000 BLOCK NE 83RD ST,Miami Police,8-31-2019 10:11 PM
BATTERY / DOMESTIC,1908310065918,3600 BLOCK NE 5TH AV,Miami Police,8-31-2019 10:10 PM
CRIMINAL MISCHIEF / VANDALISM,1908310065917,1200 BLOCK NW 1ST AV,Miami Police,8-31-2019 10:07 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065932,400 BLOCK SW 8TH AV,Miami Police,8-31-2019 9:53 PM
BATTERY / SIMPLE,1908310065924,3600 BLOCK NW 9TH ST,Miami Police,8-31-2019 9:52 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065919,1800 BLOCK NW 45TH ST,Miami Police,8-31-2019 9:47 PM
SIMPLE BATTERY,1908310065809,900 BLOCK NW 1ST ST,Miami Police,8-31-2019 9:19 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065915,1000 BLOCK SW 2ND AV,Miami Police,8-31-2019 9:14 PM
PETIT THEFT - UNSPECIFIED / $100 TO LESS THAN $300,1908310065911,NE 2ND AV / NE 54TH ST,Miami Police,8-31-2019 8:58 PM
THEFT/LARCENY,PD190831313095,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 8:53 PM
ASSAULT,PD190831313093,2900 BLOCK NW 27TH ST,Miami-Dade Police,8-31-2019 8:51 PM
POSSESSION OF A FIREARM OR CONCEALED WEAPON BY A CONVICTED OR DELINQUENT FELON,1908310065902,400 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 8:50 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065905,NW 22ND ST / NW 1ST CT,Miami Police,8-31-2019 8:23 PM
BURGLARY,PD190831313043,6800 BLOCK SW 16TH ST,Miami-Dade Police,8-31-2019 8:05 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065896,6900 BLOCK NW 2ND AV,Miami Police,8-31-2019 7:44 PM
BURGLARY,PD190903316452,7000 BLOCK NW 30TH AVE,Miami-Dade Police,8-31-2019 7:00 PM
BATTERY / SIMPLE,1908310065888,800 BLOCK SW 1ST ST,Miami Police,8-31-2019 6:49 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065884,600 BLOCK NW 25TH AV,Miami Police,8-31-2019 6:42 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065881,1800 BLOCK SW 13TH ST,Miami Police,8-31-2019 5:55 PM
BATTERY / DOMESTIC,1908310065882,100 BLOCK SW 13TH ST,Miami Police,8-31-2019 5:42 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065878,8000 BLOCK NE 2 AVE,Miami Police,8-31-2019 5:41 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065878,100 BLOCK NE 79TH ST,Miami Police,8-31-2019 5:41 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1908310065883,2000 BLOCK NW 10 AVE,Miami Police,8-31-2019 5:39 PM
SEXUAL BATTERY ON PERSON UNDER 12 YOA BY PERSON 18 YOA OR OLDER,1908310065894,6300 BLOCK NW 14TH CT,Miami Police,8-31-2019 5:23 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065870,1200 BLOCK NW 34TH ST,Miami Police,8-31-2019 5:20 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065887,5700 BLOCK NW 7TH ST,Miami Police,8-31-2019 5:09 PM
PETIT THEFT,1908310065876,700 BLOCK NW 13TH AV,Miami Police,8-31-2019 5:07 PM
PETIT THEFT,1908310065865,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 4:14 PM
ASSAULT,PD190831312802,6100 BLOCK NW 20TH AVE,Miami-Dade Police,8-31-2019 4:02 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065866,3600 BLOCK SW 22ND ST,Miami Police,8-31-2019 3:55 PM
THEFT - ALL OTHER,1908310065858,BISCAYNE BLVD / NE 54TH ST,Miami Police,8-31-2019 3:54 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065855,7800 BLOCK NW 1ST AV,Miami Police,8-31-2019 3:38 PM
SIMPLE ASSAULT,1908310065868,4900 BLOCK NW 11TH AV,Miami Police,8-31-2019 3:35 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065863,4300 BLOCK NE 2ND AV,Miami Police,8-31-2019 3:35 PM
THEFT/LARCENY,PD190831312856,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 3:20 PM
ASSAULT,PD190831312789,NW 80TH TER & N MIAMI AVE,Miami-Dade Police,8-31-2019 3:00 PM
CRIMINAL MISCHIEF / VANDALISM,1908310065842,6900 BLOCK NW 6TH CT,Miami Police,8-31-2019 2:48 PM
THEFT OF BICYCLE,1908310065854,100 BLOCK W FLAGLER ST,Miami Police,8-31-2019 2:44 PM
SIMPLE ASSAULT,1908310065843,SW 16TH ST / SW 27TH AV,Miami Police,8-31-2019 2:31 PM
THEFT/LARCENY,PD190901313626,JMH MAIN,Miami-Dade Police,8-31-2019 2:30 PM
BATTERY / DOMESTIC,1908310065839,800 BLOCK NW 5TH AV,Miami Police,8-31-2019 2:15 PM
GRAND THEFT,1908310065846,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 2:03 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065830,3600 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 1:48 PM
THEFT - OF MOTOR VEHICLE PARTS,1908310065835,300 BLOCK NW 34TH ST,Miami Police,8-31-2019 1:44 PM
THEFT/LARCENY,PD190831312666,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 1:20 PM
THEFT - ALL OTHER,1908310065822,400 BLOCK NW 4TH ST,Miami Police,8-31-2019 1:11 PM
THEFT OF BICYCLE,1909030066364,NW 2ND AV / NW 26TH ST,Miami Police,8-31-2019 1:07 PM
POSSESS / SELL CONTROLLED SUBSTANCE NAMED IN FS 893.03 (1A:1B:1D:2A:2B),1908310065817,SW 1ST CT / SW 1ST ST,Miami Police,8-31-2019 12:55 PM
BATTERY / SIMPLE,1908310065824,400 BLOCK NE 82ND ST,Miami Police,8-31-2019 12:31 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065812,300 BLOCK SW 27TH AV,Miami Police,8-31-2019 12:05 PM
AUTO THEFT,1908310065815,300 BLOCK NE 59TH TER,Miami Police,8-31-2019 11:59 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065803,2300 BLOCK NW 24TH AV,Miami Police,8-31-2019 11:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065808,2100 BLOCK SW 3RD AV,Miami Police,8-31-2019 11:51 AM
SIMPLE BATTERY,1908310065809,900 BLOCK NW 1ST ST,Miami Police,8-31-2019 11:50 AM
THREATENS A LAW ENFORCEMENT ORFFICER,1908310065807,200 BLOCK NE 1ST AVE,Miami Police,8-31-2019 11:32 AM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908310065791,600 BLOCK NE 73RD ST,Miami Police,8-31-2019 10:58 AM
THEFT - OF MOTOR VEHICLE PARTS,1908310065796,800 BLOCK NW 28TH AV,Miami Police,8-31-2019 10:58 AM
BATTERY / SIMPLE,1908310065798,2100 BLOCK NW 34TH ST,Miami Police,8-31-2019 10:57 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065786,2500 BLOCK SW 16TH ST,Miami Police,8-31-2019 10:23 AM
SIMPLE BATTERY,1908310065788,6800 BLOCK NW 4TH CT,Miami Police,8-31-2019 10:18 AM
BATTERY / DOMESTIC,1908310065799,200 BLOCK NE 1ST AVE,Miami Police,8-31-2019 10:09 AM
THEFT - ALL OTHER,1908310065776,1000 BLOCK NW NORTH RIVER DR,Miami Police,8-31-2019 10:07 AM
THEFT - OF MOTOR VEHICLE PARTS,1908310065782,4800 BLOCK NW 7TH AV,Miami Police,8-31-2019 10:05 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065783,0 BLOCK NE 55TH ST,Miami Police,8-31-2019 10:01 AM
BURGLARY / CURTILAGE OF ANY OTHER STRUCTURE - THEFT OF LESS THAN $300,1908310065780,2600 BLOCK SW 16TH TER,Miami Police,8-31-2019 9:35 AM
BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908310065772,2800 BLOCK NW 11TH AV,Miami Police,8-31-2019 9:34 AM
BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908310065772,2800 BLOCK NW 11TH AV,Miami Police,8-31-2019 9:34 AM
STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908310065767,1600 BLOCK NW 20TH ST,Miami Police,8-31-2019 8:56 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065761,700 BLOCK NW 18TH PL,Miami Police,8-31-2019 8:45 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065760,900 BLOCK NW 55TH ST,Miami Police,8-31-2019 8:35 AM
MOTOR VEHICLE THEFT,PD190831312869,3300 BLOCK NW 37TH ST,Miami-Dade Police,8-31-2019 8:00 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065755,400 BLOCK NE 39TH ST,Miami Police,8-31-2019 7:50 AM
BATTERY / AGG: USES DEADLY WEAPON,1908310065756,600 BLOCK SW 44TH CT,Miami Police,8-31-2019 7:49 AM
THEFT/LARCENY,PD190901313506,3100 BLOCK NW 54TH ST,Miami-Dade Police,8-31-2019 7:00 AM
ASSAULT,PD190831312262,2000 BLOCK NW 73RD ST,Miami-Dade Police,8-31-2019 6:35 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065747,3300 BLOCK NW 6TH AV,Miami Police,8-31-2019 6:13 AM
DRUGS/ALCOHOL VIOLATIONS,PD190831312200,NW 12TH AVE & NW 81ST ST,Miami-Dade Police,8-31-2019 3:57 AM
ASSAULT,PD190831313055,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-31-2019 3:50 AM
AGGRAVATED ASSAULT,1908310065735,1000 BLOCK NW 63RD ST,Miami Police,8-31-2019 3:05 AM
SIMPLE BATTERY,1908310065732,1600 BLOCK SW 8TH ST,Miami Police,8-31-2019 3:04 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065733,N MIAMI AV / NE 23RD ST,Miami Police,8-31-2019 3:04 AM
THEFT/LARCENY,PD190831312180,4200 BLOCK SW 8TH ST,Miami-Dade Police,8-31-2019 2:40 AM
MOTOR VEHICLE THEFT,PD190831312181,4100 BLOCK SW 14TH ST,Miami-Dade Police,8-31-2019 2:40 AM
ASSAULT / AGG / DOMESTIC,1908310065725,N MIAMI AV / NW 77TH ST,Miami Police,8-31-2019 2:27 AM
AGGRAVATED BATTERY,1908310065719,6600 BLOCK NE 1ST PL,Miami Police,8-31-2019 1:56 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065715,N MIAMI AV / NE 20TH ST,Miami Police,8-31-2019 1:31 AM
CRIMINAL MISCHIEF / VANDALISM,1908310065716,1200 BLOCK NW 58TH TER,Miami Police,8-31-2019 1:28 AM
SIMPLE BATTERY,1908310065717,100 BLOCK NW 23RD ST,Miami Police,8-31-2019 1:28 AM
THEFT/LARCENY,PD190831312340,7000 BLOCK NW 27TH AVE,Miami-Dade Police,8-31-2019 1:00 AM
SIMPLE BATTERY,1908310065711,1800 BLOCK NW 16TH ST,Miami Police,8-31-2019 12:55 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065707,NW 2ND AV / NW 27TH TER,Miami Police,8-31-2019 12:37 AM
CRIMINAL MISCHIEF / VANDALISM,1908310065718,300 BLOCK NW 7TH AV,Miami Police,8-31-2019 12:24 AM
RETAIL THEFT,1908300065704,0 BLOCK SE 3RD AV,Miami Police,8-30-2019 11:36 PM
ATTEMPTED MURDER,1908300065702,900 BLOCK NW 46TH ST,Miami Police,8-30-2019 11:22 PM
ASSAULT,PD190830312032,2200 BLOCK NW 50TH ST,Miami-Dade Police,8-30-2019 11:15 PM
SIMPLE BATTERY,1908300065690,2300 BLOCK NW 33RD ST,Miami Police,8-30-2019 10:20 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908300065692,N MIAMI AV / NE 23RD ST,Miami Police,8-30-2019 10:11 PM
BATTERY / SIMPLE,1908300065696,600 BLOCK BISCAYNE BLVD,Miami Police,8-30-2019 10:10 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908300065681,1400 BLOCK NW 17TH AV,Miami Police,8-30-2019 9:45 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908300065684,3000 BLOCK SW 8TH ST,Miami Police,8-30-2019 9:42 PM
ROBBERY - STRONG ARM,1908300065693,200 BLOCK SW 8TH AV,Miami Police,8-30-2019 9:11 PM
ROBBERY - STRONG ARM,1908300065693,200 BLOCK SW 8TH AV,Miami Police,8-30-2019 9:11 PM
DRUGS/ALCOHOL VIOLATIONS,PD190830311918,3800 BLOCK NW 27TH AVE,Miami-Dade Police,8-30-2019 9:05 PM
ASSAULT,PD190831313034,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-30-2019 9:00 PM
BATTERY / SIMPLE,1908300065668,1800 BLOCK NW 51ST ST,Miami Police,8-30-2019 8:40 PM
BURGLARY,PD190831312087,2500 BLOCK NW 80TH ST,Miami-Dade Police,8-30-2019 8:00 PM
ASSAULT,PD190901314154,1900 BLOCK NW 47TH ST,Miami-Dade Police,8-30-2019 8:00 PM
THEFT/LARCENY,PD190901313705,2400 BLOCK NW 50TH ST,Miami-Dade Police,8-30-2019 8:00 PM
RETAIL THEFT,1908300065658,200 BLOCK BISCAYNE BLVD,Miami Police,8-30-2019 6:56 PM
BATTERY / SIMPLE,1908300065659,500 BLOCK NW 56TH ST,Miami Police,8-30-2019 6:49 PM
HOMICIDE,PD190830311792,7900 BLOCK NW 22ND AVE,Miami-Dade Police,8-30-2019 6:49 PM
"BATTERY / L.E.O. / FIREFIGHTER / EMT / NONSWORN OR LICENSED SECURITY OFC, ETC",1908300065655,400 BLOCK S MIAMI AV,Miami Police,8-30-2019 6:40 PM
THEFT - ALL OTHER,1908300065648,900 BLOCK S MIAMI AV,Miami Police,8-30-2019 6:35 PM
THEFT/LARCENY,PD190831312341,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-30-2019 6:35 PM
ASSAULT,PD190830311767,2000 BLOCK NW 68TH ST,Miami-Dade Police,8-30-2019 6:31 PM
VEHICLE BREAK-IN/THEFT,PD190831312134,1900 BLOCK NW 48TH ST,Miami-Dade Police,8-30-2019 6:30 PM
SIMPLE ASSAULT,1908300065649,1700 BLOCK NW 1ST PL,Miami Police,8-30-2019 6:21 PM
BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908300065662,700 BLOCK NW 21ST ST,Miami Police,8-30-2019 6:21 PM
VEHICLE BREAK-IN/THEFT,PD190830311962,4500 BLOCK NW 72ND AVE,Miami-Dade Police,8-30-2019 6:15 PM
VANDALISM,PD190830311723,3000 BLOCK NW 65TH ST,Miami-Dade Police,8-30-2019 5:31 PM
BATTERY / SIMPLE,1908300065627,100 BLOCK W FLAGLER ST,Miami Police,8-30-2019 5:29 PM
CARRYING CONCEALED FIREARM,1908300065628,NW 10TH AV / NW 40TH ST,Miami Police,8-30-2019 5:25 PM
VANDALISM,PD190831312273,3900 BLOCK NW 28TH ST,Miami-Dade Police,8-30-2019 5:00 PM
THEFT/LARCENY,PD190903316580,JMH MAIN,Miami-Dade Police,8-30-2019 5:00 PM
ROBBERY - ARMED,1908300065624,1800 BLOCK NW 21ST ST,Miami Police,8-30-2019 4:55 PM
CRIMINAL MISCHIEF / VANDALISM,1908300065618,1400 BLOCK NW 40TH ST,Miami Police,8-30-2019 4:35 PM
RETAIL THEFT,1908300065615,3300 BLOCK SW 22ND ST,Miami Police,8-30-2019 4:29 PM
GRAND THEFT,1908300065622,SW 8TH ST / SW 11TH AV,Miami Police,8-30-2019 4:21 PM
VEHICLE BREAK-IN/THEFT,PD190830311670,3500 BLOCK NW 79TH ST,Miami-Dade Police,8-30-2019 4:00 PM
THEFT/LARCENY,PD190902314977,7200 BLOCK NW 31ST ST,Miami-Dade Police,8-30-2019 3:30 PM
THEFT - OF MOTOR VEHICLE PARTS,1908300065585,1700 BLOCK SW 11TH ST,Miami Police,8-30-2019 3:22 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908300065620,100 BLOCK NE 62ND ST,Miami Police,8-30-2019 2:59 PM
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1908300065599,1700 BLOCK NW 1ST AVE,Miami Police,8-30-2019 2:41 PM
AGGRAVATED BATTERY,1908300065601,3600 BLOCK NW 27TH AV,Miami Police,8-30-2019 1:52 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),1908300065562,NW 17TH AV / NW 15TH ST,Miami Police,8-30-2019 1:16 PM
THEFT/LARCENY,PD190906320165,7100 BLOCK NW 35TH AVE,Miami-Dade Police,8-30-2019 1:00 PM
CRIMINAL MISCHIEF / VANDALISM,1908300065571,4400 BLOCK NW 11TH PL,Miami Police,8-30-2019 12:38 PM
ASSAULT,PD190830311271,2100 BLOCK NW 85TH ST,Miami-Dade Police,8-30-2019 11:51 AM
GRAND THEFT - FROM BUILDING WITH PUBLIC ACCESS - $300 TO LESS THN $5000,1908300065559,1000 BLOCK NW 32ND AV,Miami Police,8-30-2019 11:37 AM
THEFT - ALL OTHER,1908300065553,400 BLOCK SW 7TH ST,Miami Police,8-30-2019 11:24 AM
VANDALISM,PD190830311426,2600 BLOCK NW 80TH ST,Miami-Dade Police,8-30-2019 11:00 AM
THEFT/LARCENY,PD190830311204,8000 BLOCK NW 13TH AVE,Miami-Dade Police,8-30-2019 10:59 AM
BATTERY / DOMESTIC,1908300065543,5200 BLOCK NE 3RD CT,Miami Police,8-30-2019 10:54 AM
RETAIL THEFT,1908300065535,900 BLOCK SW 8TH ST,Miami Police,8-30-2019 10:47 AM
