,Description,Incident#,Location,Agency,Date,location,New
968,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909010065943,2400 BLOCK N MIAMI AVE,Miami Police,9-1-2019 12:36 AM,"[-80.21482979999999, 25.779324]",25.8354273
969,THEFT - FROM MOTOR VEHICLE,1909010065941,100 BLOCK NE 50TH TER,Miami Police,9-1-2019 12:18 AM,"[-80.1890538, 25.7905414]",25.8354273
970,BATTERY / SIMPLE,1909010065940,400 BLOCK BRICKELL AV,Miami Police,9-1-2019 12:14 AM,"[-80.22379500000001, 25.787129]",25.8354273
971,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1909010065942,200 BLOCK SW 23RD RD,Miami Police,9-1-2019 12:00 AM,"[-80.2514956, 25.8431635]",25.8354273
972,ROBBERY,PD190831313260,NW 14TH AVE & NW 77TH TER,Miami-Dade Police,8-31-2019 11:47 PM,"[-80.1925969, 25.8039793]",25.8354273
973,ASSAULT,PD190901313423,2700 BLOCK NW 49TH ST,Miami-Dade Police,8-31-2019 11:30 PM,"[-80.18972959999999, 25.8108619]",25.8354273
974,AGGRAVATED ASSAULT,1909010065936,1700 BLOCK NW 62ND TER,Miami Police,8-31-2019 11:18 PM,"[-80.1973281, 25.7634009]",25.8354273
975,BURGLARY - RESIDENCE,1908310065922,1000 BLOCK NE 83RD ST,Miami Police,8-31-2019 10:11 PM,"[-80.1966164, 25.8356624]",25.8354273
976,BATTERY / DOMESTIC,1908310065918,3600 BLOCK NE 5TH AV,Miami Police,8-31-2019 10:10 PM,"[-80.2229163, 25.828683]",25.8354273
977,CRIMINAL MISCHIEF / VANDALISM,1908310065917,1200 BLOCK NW 1ST AV,Miami Police,8-31-2019 10:07 PM,"[-80.1861552, 25.8467531]",25.8354273
978,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065932,400 BLOCK SW 8TH AV,Miami Police,8-31-2019 9:53 PM,"[-80.1996456, 25.8100013]",25.8354273
979,BATTERY / SIMPLE,1908310065924,3600 BLOCK NW 9TH ST,Miami Police,8-31-2019 9:52 PM,"[-80.22487699999999, 25.7768473]",25.8354273
980,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065919,1800 BLOCK NW 45TH ST,Miami Police,8-31-2019 9:47 PM,"[-80.22875479999999, 25.7634289]",25.8354273
981,SIMPLE BATTERY,1908310065809,900 BLOCK NW 1ST ST,Miami Police,8-31-2019 9:19 PM,"[-80.21266200000001, 25.846177]",25.8354273
982,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065915,1000 BLOCK SW 2ND AV,Miami Police,8-31-2019 9:14 PM,"[-80.22400259999999, 25.8087598]",25.8354273
983,PETIT THEFT - UNSPECIFIED / $100 TO LESS THAN $300,1908310065911,NE 2ND AV / NE 54TH ST,Miami Police,8-31-2019 8:58 PM,"[-80.3064685, 25.7769065]",25.8354273
984,THEFT/LARCENY,PD190831313095,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 8:53 PM,"[-80.2197791, 25.7673988]",25.8354273
985,ASSAULT,PD190831313093,2900 BLOCK NW 27TH ST,Miami-Dade Police,8-31-2019 8:51 PM,"[-80.1935252, 25.7652195]",25.8354273
986,POSSESSION OF A FIREARM OR CONCEALED WEAPON BY A CONVICTED OR DELINQUENT FELON,1908310065902,400 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 8:50 PM,"[-80.28640999999999, 25.7777254]",25.8354273
987,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065905,NW 22ND ST / NW 1ST CT,Miami Police,8-31-2019 8:23 PM,"[-80.1997616, 25.8345409]",25.8354273
988,BURGLARY,PD190831313043,6800 BLOCK SW 16TH ST,Miami-Dade Police,8-31-2019 8:05 PM,"[-80.19967609999999, 25.7992831]",25.8354273
989,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065896,6900 BLOCK NW 2ND AV,Miami Police,8-31-2019 7:44 PM,"[-80.22276509999999, 25.8392143]",25.8354273
990,BURGLARY,PD190903316452,7000 BLOCK NW 30TH AVE,Miami-Dade Police,8-31-2019 7:00 PM,"[-80.20915769999999, 25.8470509]",25.8354273
991,BATTERY / SIMPLE,1908310065888,800 BLOCK SW 1ST ST,Miami Police,8-31-2019 6:49 PM,"[-80.20641069999999, 25.8305064]",25.8354273
992,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065884,600 BLOCK NW 25TH AV,Miami Police,8-31-2019 6:42 PM,"[-80.2141729, 25.7733956]",25.8354273
993,THEFT - OF MOTOR VEHICLE PARTS,1908310065881,1800 BLOCK SW 13TH ST,Miami Police,8-31-2019 5:55 PM,"[-80.1918219, 25.7845635]",25.8354273
994,BATTERY / DOMESTIC,1908310065882,100 BLOCK SW 13TH ST,Miami Police,8-31-2019 5:42 PM,"[-80.22121369999999, 25.8429619]",25.8354273
995,THEFT - OF MOTOR VEHICLE PARTS,1908310065878,8000 BLOCK NE 2 AVE,Miami Police,8-31-2019 5:41 PM,"[-80.23469089999999, 25.8177952]",25.8354273
996,THEFT - OF MOTOR VEHICLE PARTS,1908310065878,100 BLOCK NE 79TH ST,Miami Police,8-31-2019 5:41 PM,"[-80.2276437, 25.7943756]",25.8354273
997,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1908310065883,2000 BLOCK NW 10 AVE,Miami Police,8-31-2019 5:39 PM,"[-80.2456457, 25.8374777]",25.8354273
998,SEXUAL BATTERY ON PERSON UNDER 12 YOA BY PERSON 18 YOA OR OLDER,1908310065894,6300 BLOCK NW 14TH CT,Miami Police,8-31-2019 5:23 PM,"[-80.2211411, 25.7920419]",25.8354273
999,THEFT - OF MOTOR VEHICLE PARTS,1908310065870,1200 BLOCK NW 34TH ST,Miami Police,8-31-2019 5:20 PM,"[-80.2147239, 25.7764371]",25.8354273
1000,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065887,5700 BLOCK NW 7TH ST,Miami Police,8-31-2019 5:09 PM,"[-80.2122618, 25.848811]",25.8354273
1001,PETIT THEFT,1908310065876,700 BLOCK NW 13TH AV,Miami Police,8-31-2019 5:07 PM,"[-80.1978031, 25.8324981]",25.8354273
1002,PETIT THEFT,1908310065865,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 4:14 PM,"[-80.2224274, 25.7984837]",25.8354273
1003,ASSAULT,PD190831312802,6100 BLOCK NW 20TH AVE,Miami-Dade Police,8-31-2019 4:02 PM,"[-80.31156899999999, 25.8101534]",25.8354273
1004,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065866,3600 BLOCK SW 22ND ST,Miami Police,8-31-2019 3:55 PM,"[-80.239958, 25.789023]",25.8354273
1005,THEFT - ALL OTHER,1908310065858,BISCAYNE BLVD / NE 54TH ST,Miami Police,8-31-2019 3:54 PM,"[-80.21354579999999, 25.8466575]",25.8354273
1006,THEFT - OF MOTOR VEHICLE PARTS,1908310065855,7800 BLOCK NW 1ST AV,Miami Police,8-31-2019 3:38 PM,"[-80.20302439999999, 25.7999916]",25.8354273
1007,SIMPLE ASSAULT,1908310065868,4900 BLOCK NW 11TH AV,Miami Police,8-31-2019 3:35 PM,"[-80.2870509, 25.7958723]",25.8354273
1008,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065863,4300 BLOCK NE 2ND AV,Miami Police,8-31-2019 3:35 PM,"[-80.2031961, 25.8006125]",25.8354273
1009,THEFT/LARCENY,PD190831312856,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 3:20 PM,"[-80.20302439999999, 25.7999916]",25.8354273
1010,ASSAULT,PD190831312789,NW 80TH TER & N MIAMI AVE,Miami-Dade Police,8-31-2019 3:00 PM,"[-80.2298876, 25.8529849]",25.8354273
1011,CRIMINAL MISCHIEF / VANDALISM,1908310065842,6900 BLOCK NW 6TH CT,Miami Police,8-31-2019 2:48 PM,"[-80.2455478, 25.83386]",25.8354273
1012,THEFT OF BICYCLE,1908310065854,100 BLOCK W FLAGLER ST,Miami Police,8-31-2019 2:44 PM,"[-80.1971636, 25.8029826]",25.8354273
1013,SIMPLE ASSAULT,1908310065843,SW 16TH ST / SW 27TH AV,Miami Police,8-31-2019 2:31 PM,"[-80.26392969999999, 25.7639427]",25.8354273
1014,THEFT/LARCENY,PD190901313626,JMH MAIN,Miami-Dade Police,8-31-2019 2:30 PM,"[-80.23902559999999, 25.7649698]",25.8354273
1015,BATTERY / DOMESTIC,1908310065839,800 BLOCK NW 5TH AV,Miami Police,8-31-2019 2:15 PM,"[-80.20809419999999, 25.8231065]",25.8354273
1016,GRAND THEFT,1908310065846,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 2:03 PM,"[-80.195729, 25.81361]",25.8354273
1017,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065830,3600 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 1:48 PM,"[-80.222177, 25.8171122]",25.8354273
1018,THEFT - OF MOTOR VEHICLE PARTS,1908310065835,300 BLOCK NW 34TH ST,Miami Police,8-31-2019 1:44 PM,"[-80.19523749999999, 25.80003]",25.8354273
1019,THEFT/LARCENY,PD190831312666,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 1:20 PM,"[-80.193947, 25.8218102]",25.8354273
1020,THEFT - ALL OTHER,1908310065822,400 BLOCK NW 4TH ST,Miami Police,8-31-2019 1:11 PM,"[-80.1901238, 25.7709339]",25.8354273
1021,THEFT OF BICYCLE,1909030066364,NW 2ND AV / NW 26TH ST,Miami Police,8-31-2019 1:07 PM,"[-80.20492999999999, 25.7559074]",25.8354273
1022,POSSESS / SELL CONTROLLED SUBSTANCE NAMED IN FS 893.03 (1A:1B:1D:2A:2B),1908310065817,SW 1ST CT / SW 1ST ST,Miami Police,8-31-2019 12:55 PM,"[-80.2212663, 25.8447834]",25.8354273
1023,BATTERY / SIMPLE,1908310065824,400 BLOCK NE 82ND ST,Miami Police,8-31-2019 12:31 PM,,25.8354273
1024,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065812,300 BLOCK SW 27TH AV,Miami Police,8-31-2019 12:05 PM,"[-80.2407116, 25.8192743]",25.8354273
1025,AUTO THEFT,1908310065815,300 BLOCK NE 59TH TER,Miami Police,8-31-2019 11:59 AM,"[-80.22528299999999, 25.830621]",25.8354273
1026,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065803,2300 BLOCK NW 24TH AV,Miami Police,8-31-2019 11:57 AM,"[-80.17658279999999, 25.851853]",25.8354273
1027,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065808,2100 BLOCK SW 3RD AV,Miami Police,8-31-2019 11:51 AM,"[-80.1874729, 25.810738]",25.8354273
1028,SIMPLE BATTERY,1908310065809,900 BLOCK NW 1ST ST,Miami Police,8-31-2019 11:50 AM,"[-80.19663000000001, 25.786105]",25.8354273
1029,THREATENS A LAW ENFORCEMENT ORFFICER,1908310065807,200 BLOCK NE 1ST AVE,Miami Police,8-31-2019 11:32 AM,"[-80.2077736, 25.7696306]",25.8354273
1030,FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908310065791,600 BLOCK NE 73RD ST,Miami Police,8-31-2019 10:58 AM,"[-80.2540789, 25.7808888]",25.8354273
1031,THEFT - OF MOTOR VEHICLE PARTS,1908310065796,800 BLOCK NW 28TH AV,Miami Police,8-31-2019 10:58 AM,"[-80.2264834, 25.816053]",25.8354273
1032,BATTERY / SIMPLE,1908310065798,2100 BLOCK NW 34TH ST,Miami Police,8-31-2019 10:57 AM,"[-80.2094615, 25.7746843]",25.8354273
1033,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065786,2500 BLOCK SW 16TH ST,Miami Police,8-31-2019 10:23 AM,"[-80.1973438, 25.7643729]",25.8354273
1034,SIMPLE BATTERY,1908310065788,6800 BLOCK NW 4TH CT,Miami Police,8-31-2019 10:18 AM,"[-80.1918893, 25.8253954]",25.8354273
1035,BATTERY / DOMESTIC,1908310065799,200 BLOCK NE 1ST AVE,Miami Police,8-31-2019 10:09 AM,"[-80.2514956, 25.8431635]",25.8354273
1036,THEFT - ALL OTHER,1908310065776,1000 BLOCK NW NORTH RIVER DR,Miami Police,8-31-2019 10:07 AM,"[-80.2420027, 25.8007014]",25.8354273
1037,THEFT - OF MOTOR VEHICLE PARTS,1908310065782,4800 BLOCK NW 7TH AV,Miami Police,8-31-2019 10:05 AM,"[-80.18892869999999, 25.7785955]",25.8354273
1038,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065783,0 BLOCK NE 55TH ST,Miami Police,8-31-2019 10:01 AM,"[-80.2309551, 25.7741532]",25.8354273
1039,BURGLARY / CURTILAGE OF ANY OTHER STRUCTURE - THEFT OF LESS THAN $300,1908310065780,2600 BLOCK SW 16TH TER,Miami Police,8-31-2019 9:35 AM,"[-80.3059679, 25.7553885]",25.8354273
1040,BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908310065772,2800 BLOCK NW 11TH AV,Miami Police,8-31-2019 9:34 AM,"[-80.1917902, 25.7616798]",25.8354273
1041,BURGLARY / DWELLING NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908310065772,2800 BLOCK NW 11TH AV,Miami Police,8-31-2019 9:34 AM,"[-80.2008906, 25.8382912]",25.8354273
1042,STRONG ARM ROBBERY - NO FIREARM OR WEAPON,1908310065767,1600 BLOCK NW 20TH ST,Miami Police,8-31-2019 8:56 AM,"[-80.2456457, 25.8374777]",25.8354273
1043,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065761,700 BLOCK NW 18TH PL,Miami Police,8-31-2019 8:45 AM,"[-80.20767289999999, 25.7727352]",25.8354273
1044,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065760,900 BLOCK NW 55TH ST,Miami Police,8-31-2019 8:35 AM,"[-80.237314, 25.7786821]",25.8354273
1045,MOTOR VEHICLE THEFT,PD190831312869,3300 BLOCK NW 37TH ST,Miami-Dade Police,8-31-2019 8:00 AM,"[-80.22461559999999, 25.7605876]",25.8354273
1046,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065755,400 BLOCK NE 39TH ST,Miami Police,8-31-2019 7:50 AM,"[-80.1961726, 25.7615215]",25.8354273
1047,BATTERY / AGG: USES DEADLY WEAPON,1908310065756,600 BLOCK SW 44TH CT,Miami Police,8-31-2019 7:49 AM,"[-80.1928658, 25.8487486]",25.8354273
1048,THEFT/LARCENY,PD190901313506,3100 BLOCK NW 54TH ST,Miami-Dade Police,8-31-2019 7:00 AM,"[-80.19518579999999, 25.8473933]",25.8354273
1049,ASSAULT,PD190831312262,2000 BLOCK NW 73RD ST,Miami-Dade Police,8-31-2019 6:35 AM,"[-80.2113689, 25.7954698]",25.8354273
1050,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065747,3300 BLOCK NW 6TH AV,Miami Police,8-31-2019 6:13 AM,"[-80.2215387, 25.8332566]",25.8354273
1051,DRUGS/ALCOHOL VIOLATIONS,PD190831312200,NW 12TH AVE & NW 81ST ST,Miami-Dade Police,8-31-2019 3:57 AM,"[-80.2159161, 25.8080316]",25.8354273
1052,ASSAULT,PD190831313055,0000 BLOCK INTERNATIONAL WATERS,Miami-Dade Police,8-31-2019 3:50 AM,"[-80.28844529999999, 25.7779851]",25.8354273
1053,AGGRAVATED ASSAULT,1908310065735,1000 BLOCK NW 63RD ST,Miami Police,8-31-2019 3:05 AM,"[-80.2163716, 25.7801732]",25.8354273
1054,SIMPLE BATTERY,1908310065732,1600 BLOCK SW 8TH ST,Miami Police,8-31-2019 3:04 AM,"[-80.19546140000001, 25.8082999]",25.8354273
1055,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065733,N MIAMI AV / NE 23RD ST,Miami Police,8-31-2019 3:04 AM,"[-80.230213, 25.830814]",25.8354273
1056,MOTOR VEHICLE THEFT,PD190831312181,4100 BLOCK SW 14TH ST,Miami-Dade Police,8-31-2019 2:40 AM,"[-80.2523147, 25.7496399]",25.8354273
1057,THEFT/LARCENY,PD190831312180,4200 BLOCK SW 8TH ST,Miami-Dade Police,8-31-2019 2:40 AM,"[-80.1868815, 25.8255225]",25.8354273
1058,ASSAULT / AGG / DOMESTIC,1908310065725,N MIAMI AV / NW 77TH ST,Miami Police,8-31-2019 2:27 AM,"[-80.1989656, 25.8465491]",25.8354273
1059,AGGRAVATED BATTERY,1908310065719,6600 BLOCK NE 1ST PL,Miami Police,8-31-2019 1:56 AM,"[-80.21407769999999, 25.8203379]",25.8354273
1060,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065715,N MIAMI AV / NE 20TH ST,Miami Police,8-31-2019 1:31 AM,"[-80.191585, 25.815752]",25.8354273
1061,CRIMINAL MISCHIEF / VANDALISM,1908310065716,1200 BLOCK NW 58TH TER,Miami Police,8-31-2019 1:28 AM,"[-80.2514956, 25.8431635]",25.8354273
1062,SIMPLE BATTERY,1908310065717,100 BLOCK NW 23RD ST,Miami Police,8-31-2019 1:28 AM,"[-80.19693439999999, 25.8485928]",25.8354273
1063,THEFT/LARCENY,PD190831312340,7000 BLOCK NW 27TH AVE,Miami-Dade Police,8-31-2019 1:00 AM,"[-80.2079797, 25.8378509]",25.8354273
1064,SIMPLE BATTERY,1908310065711,1800 BLOCK NW 16TH ST,Miami Police,8-31-2019 12:55 AM,"[-80.1961336, 25.7738534]",25.8354273
1065,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065707,NW 2ND AV / NW 27TH TER,Miami Police,8-31-2019 12:37 AM,"[-80.2386125, 25.7577687]",25.8354273
1066,CRIMINAL MISCHIEF / VANDALISM,1908310065718,300 BLOCK NW 7TH AV,Miami Police,8-31-2019 12:24 AM,"[-80.2127544, 25.7917353]",25.8354273
1067,ROBBERY,PD190831313260,NW 14TH AVE & NW 77TH TER,Miami-Dade Police,8-31-2019 11:47 PM,"[-80.205118, 25.782349]",25.8354273
1068,ASSAULT,PD190901313423,2700 BLOCK NW 49TH ST,Miami-Dade Police,8-31-2019 11:30 PM,"[-80.19546140000001, 25.8082999]",25.8354273
1069,AGGRAVATED ASSAULT,1909010065936,1700 BLOCK NW 62ND TER,Miami Police,8-31-2019 11:18 PM,"[-80.18972959999999, 25.8108619]",25.8354273
1070,BURGLARY - RESIDENCE,1908310065922,1000 BLOCK NE 83RD ST,Miami Police,8-31-2019 10:11 PM,"[-80.201593, 25.808129]",25.8354273
1071,BATTERY / DOMESTIC,1908310065918,3600 BLOCK NE 5TH AV,Miami Police,8-31-2019 10:10 PM,"[-80.2514956, 25.8431635]",25.8354273
1072,CRIMINAL MISCHIEF / VANDALISM,1908310065917,1200 BLOCK NW 1ST AV,Miami Police,8-31-2019 10:07 PM,"[-80.2011948, 25.7777864]",25.8354273
1073,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065932,400 BLOCK SW 8TH AV,Miami Police,8-31-2019 9:53 PM,"[-80.1990897, 25.8014685]",25.8354273
1074,BATTERY / SIMPLE,1908310065924,3600 BLOCK NW 9TH ST,Miami Police,8-31-2019 9:52 PM,"[-80.1962416, 25.7732422]",25.8354273
1075,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065919,1800 BLOCK NW 45TH ST,Miami Police,8-31-2019 9:47 PM,"[-80.1875755, 25.8498151]",25.8354273
1076,SIMPLE BATTERY,1908310065809,900 BLOCK NW 1ST ST,Miami Police,8-31-2019 9:19 PM,"[-80.2393386, 25.7693594]",25.8354273
1077,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908310065915,1000 BLOCK SW 2ND AV,Miami Police,8-31-2019 9:14 PM,"[-80.18989069999999, 25.8305506]",25.8354273
1078,PETIT THEFT - UNSPECIFIED / $100 TO LESS THAN $300,1908310065911,NE 2ND AV / NE 54TH ST,Miami Police,8-31-2019 8:58 PM,"[-80.23573979999999, 25.7981146]",25.8354273
1079,THEFT/LARCENY,PD190831313095,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 8:53 PM,"[-80.204364, 25.758406]",25.8354273
1080,ASSAULT,PD190831313093,2900 BLOCK NW 27TH ST,Miami-Dade Police,8-31-2019 8:51 PM,"[-80.2094615, 25.7746843]",25.8354273
1081,POSSESSION OF A FIREARM OR CONCEALED WEAPON BY A CONVICTED OR DELINQUENT FELON,1908310065902,400 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 8:50 PM,"[-80.1919939, 25.7761411]",25.8354273
1082,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065905,NW 22ND ST / NW 1ST CT,Miami Police,8-31-2019 8:23 PM,"[-80.1844193, 25.8424869]",25.8354273
1083,BURGLARY,PD190831313043,6800 BLOCK SW 16TH ST,Miami-Dade Police,8-31-2019 8:05 PM,"[-80.2411276, 25.7806421]",25.8354273
1084,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065896,6900 BLOCK NW 2ND AV,Miami Police,8-31-2019 7:44 PM,"[-80.230149, 25.8073514]",25.8354273
1085,BURGLARY,PD190903316452,7000 BLOCK NW 30TH AVE,Miami-Dade Police,8-31-2019 7:00 PM,"[-80.2754408, 25.7974139]",25.8354273
1086,BATTERY / SIMPLE,1908310065888,800 BLOCK SW 1ST ST,Miami Police,8-31-2019 6:49 PM,"[-80.23649879999999, 25.7578695]",25.8354273
1087,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065884,600 BLOCK NW 25TH AV,Miami Police,8-31-2019 6:42 PM,"[-80.2043537, 25.8371876]",25.8354273
1088,THEFT - OF MOTOR VEHICLE PARTS,1908310065881,1800 BLOCK SW 13TH ST,Miami Police,8-31-2019 5:55 PM,"[-80.1919939, 25.7761411]",25.8354273
1089,BATTERY / DOMESTIC,1908310065882,100 BLOCK SW 13TH ST,Miami Police,8-31-2019 5:42 PM,"[-80.21108559999999, 25.7815663]",25.8354273
1090,THEFT - OF MOTOR VEHICLE PARTS,1908310065878,8000 BLOCK NE 2 AVE,Miami Police,8-31-2019 5:41 PM,"[-80.2870509, 25.7958723]",25.8354273
1091,THEFT - OF MOTOR VEHICLE PARTS,1908310065878,100 BLOCK NE 79TH ST,Miami Police,8-31-2019 5:41 PM,"[-80.20814879999999, 25.8199733]",25.8354273
1092,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,1908310065883,2000 BLOCK NW 10 AVE,Miami Police,8-31-2019 5:39 PM,"[-80.1888257, 25.8260883]",25.8354273
1093,SEXUAL BATTERY ON PERSON UNDER 12 YOA BY PERSON 18 YOA OR OLDER,1908310065894,6300 BLOCK NW 14TH CT,Miami Police,8-31-2019 5:23 PM,"[-80.2376611, 25.7566967]",25.8354273
1094,THEFT - OF MOTOR VEHICLE PARTS,1908310065870,1200 BLOCK NW 34TH ST,Miami Police,8-31-2019 5:20 PM,"[-80.2133009, 25.8024608]",25.8354273
1095,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065887,5700 BLOCK NW 7TH ST,Miami Police,8-31-2019 5:09 PM,"[-80.2133009, 25.8024608]",25.8354273
1096,PETIT THEFT,1908310065876,700 BLOCK NW 13TH AV,Miami Police,8-31-2019 5:07 PM,"[-80.27303409999999, 25.79864]",25.8354273
1097,PETIT THEFT,1908310065865,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 4:14 PM,"[-80.222054, 25.794505]",25.8354273
1098,ASSAULT,PD190831312802,6100 BLOCK NW 20TH AVE,Miami-Dade Police,8-31-2019 4:02 PM,"[-80.22584309999999, 25.7799098]",25.8354273
1099,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908310065866,3600 BLOCK SW 22ND ST,Miami Police,8-31-2019 3:55 PM,"[-80.211249, 25.8255687]",25.8354273
1100,THEFT - ALL OTHER,1908310065858,BISCAYNE BLVD / NE 54TH ST,Miami Police,8-31-2019 3:54 PM,"[-80.25095449999999, 25.8093186]",25.8354273
1101,THEFT - OF MOTOR VEHICLE PARTS,1908310065855,7800 BLOCK NW 1ST AV,Miami Police,8-31-2019 3:38 PM,"[-80.1891438, 25.8135375]",25.8354273
1102,SIMPLE ASSAULT,1908310065868,4900 BLOCK NW 11TH AV,Miami Police,8-31-2019 3:35 PM,"[-80.2681758, 25.765715]",25.8354273
1103,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065863,4300 BLOCK NE 2ND AV,Miami Police,8-31-2019 3:35 PM,"[-80.2468665, 25.8237198]",25.8354273
1104,THEFT/LARCENY,PD190831312856,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 3:20 PM,"[-80.23075899999999, 25.8411057]",25.8354273
1105,ASSAULT,PD190831312789,NW 80TH TER & N MIAMI AVE,Miami-Dade Police,8-31-2019 3:00 PM,"[-80.2054115, 25.8073853]",25.8354273
1106,CRIMINAL MISCHIEF / VANDALISM,1908310065842,6900 BLOCK NW 6TH CT,Miami Police,8-31-2019 2:48 PM,"[-80.21737139999999, 25.8486729]",25.8354273
1107,THEFT OF BICYCLE,1908310065854,100 BLOCK W FLAGLER ST,Miami Police,8-31-2019 2:44 PM,"[-80.1917902, 25.7616798]",25.8354273
1108,SIMPLE ASSAULT,1908310065843,SW 16TH ST / SW 27TH AV,Miami Police,8-31-2019 2:31 PM,"[-80.2127398, 25.8327621]",25.8354273
1109,THEFT/LARCENY,PD190901313626,JMH MAIN,Miami-Dade Police,8-31-2019 2:30 PM,"[-80.2206779, 25.7655517]",25.8354273
1110,BATTERY / DOMESTIC,1908310065839,800 BLOCK NW 5TH AV,Miami Police,8-31-2019 2:15 PM,"[-80.1949111, 25.7989029]",25.8354273
1111,GRAND THEFT,1908310065846,3400 BLOCK N MIAMI AV,Miami Police,8-31-2019 2:03 PM,"[-80.2615125, 25.75877]",25.8354273
1112,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065830,3600 BLOCK BISCAYNE BLVD,Miami Police,8-31-2019 1:48 PM,"[-80.26392969999999, 25.7639427]",25.8354273
1113,THEFT - OF MOTOR VEHICLE PARTS,1908310065835,300 BLOCK NW 34TH ST,Miami Police,8-31-2019 1:44 PM,"[-80.196808, 25.8456004]",25.8354273
1114,THEFT/LARCENY,PD190831312666,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-31-2019 1:20 PM,"[-80.19354299999999, 25.836115]",25.8354273
1115,THEFT - ALL OTHER,1908310065822,400 BLOCK NW 4TH ST,Miami Police,8-31-2019 1:11 PM,"[-80.1948137, 25.7956039]",25.8354273
1116,THEFT OF BICYCLE,1909030066364,NW 2ND AV / NW 26TH ST,Miami Police,8-31-2019 1:07 PM,"[-80.2164788, 25.8290385]",25.8354273
1117,POSSESS / SELL CONTROLLED SUBSTANCE NAMED IN FS 893.03 (1A:1B:1D:2A:2B),1908310065817,SW 1ST CT / SW 1ST ST,Miami Police,8-31-2019 12:55 PM,"[-80.1968564, 25.7992071]",25.8354273
1118,BATTERY / SIMPLE,1908310065824,400 BLOCK NE 82ND ST,Miami Police,8-31-2019 12:31 PM,"[-80.241987, 25.838071]",25.8354273
1119,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065812,300 BLOCK SW 27TH AV,Miami Police,8-31-2019 12:05 PM,"[-80.2253999, 25.7893266]",25.8354273
1120,AUTO THEFT,1908310065815,300 BLOCK NE 59TH TER,Miami Police,8-31-2019 11:59 AM,"[-80.1991395, 25.802572]",25.8354273
1121,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908310065803,2300 BLOCK NW 24TH AV,Miami Police,8-31-2019 11:57 AM,"[-80.2063573, 25.7768319]",25.8354273
